Reel Number,Text
1,A mother gives her daughter an unforgettable moment in her life
2, 
3,Lil dude will remember this forever
4,The cutest video youll see today POV Youre teaching an elephant a new dance
5,Pilot lets air traffic controller propose to his girlfriend on the plane
6,Dolphins in freshwater S
7,Playing Hide and Seek with old dog
8,She flew 12000kms just to surprise her boyfriend
9,Dad finds the best hiding spot When your husband and daughter decide to play Hide and Seek
10,This is what you call a REAL MAN
11,They making the babys day better AW
12,He didnt knew the mic was sensitive
13,  Nothing can stop you
14,f  Gy  This is heart melting
15,  Her reaction to having triplets
16,4  yy  She taught us a valuable lesson
17,l   Man calls his parents while skydiving
18,  Little girl waits patiently for someone to accept the water she ing
19, Wws  They adopted a baby and this was their reaction when they met him
20,  group of guys save a womans dog
21,  want somebody like this WF
22, vy  Swimmer realises she isnt the only one enjoying the song BY
23, ess  Cancer survivor meets his donor who saved his life OW Se
24,  Just a grown man getting excited with his little achievement
25,f  i  Every morning she waves to the passing school bus today was her birthday
26,  How want to raise my kids
27,PD   Humans being wholesome like this
28,  Iwish something in my life gave me that much joy
29, ke y  All 15 of them surprised their grandparents with a sleepover AW hie
30, Wws 
31,  Sometimes its ok to break societys rules
32,  Awinis a win no matter how small
33,f  wry  The way hes reaching for her with the little strength hes got
34,  Always be helpful
35, wo  Heis so proud of his son
36, vy  He really just raised the bar for proposals
37, e  Little girl sees fireworks for the first time
38,  Playing rock paper s who wins
39,  Dad not letting his disability stop him from showing up for his son
40, wey  Parents and their wholesome daughter
41, ey  Men are simple creatures C
42,  When you run into your favourite teacher 4
43, pF  Men find happiness in simple things WF
44, y  For the first time she was brave enough to say words of love to her stepfather
45, ee  This moment
46, Wws  A person helps blind man follow the game through his fingers watching Colombia vs Poland
47,yl  iy  Teenage boy asks blind girlfriend to prom by spelling it out in Braille on chocolates ey
48,4  vy  Boyfriend surprises his girlfriend witha reunion with her parents Fr ag
49,  The way he instantly stopped
50,  This is so wholesome One day youre 17 and your high school boyfriend gives you a tree you plant together
51, d vy  Heres why crows are considered one of ay smartest animals
52,  0 labour while her mum was
53, iy  He said this on his daughters wedding day
54, yp madeyouvsmile Dog brings her puppy to the vet after its heart stopped due to cold
55,Fed 
56,f  vy  1st place marathon runner takes wrong turn but his competitor shows him respect
57, Yess  Shes been waiting a while to do that 2
58, Gop e This is all wantin life WP
59, ee  A father who learned that his daughter had a hard day at school
60,  Guy finds phone actively looks for owner
61,  2 Man saves raccoon from chocking y
62,  The little girl helping her tired mom ir
63,  When you meet someone who matches your energy
64,  Thats a man who really loves his wife
65, wey  After mans wife passed away his children adopted a shelter dog for him to keep him company
66, ey  Did she deserve this
67,  Guy is too caught up
68, Whws  This couple is goals
69,4  yy  They deserve breaks too
70, y  Students create a surprise for their teacher and there was a mishap but this was the teachers reaction a J
71,é  yy  Men one day you gonna get someone like this
72,  Bekind
73,ABR   The cutest birthday wish d
74,  She puts them to sleep every night
75,f  Wws  She thought the dipper light was a camera flash WP a 4 e 2B o a
76,f  ey  98 year old dads reaction when he finds out how old he really is J
77, ey  Bird Is Trained To Feed Its Owner Chips My dad trained our parrot to feed him chips
78,  Guy Freezes his hair and it stands tall
79,Era  ey  Dad makes sure his child remains a safe distance from the guard
80, iv  This is real masculinity
81, Gey  Acafe has developed a sensor whose door only opens to people who smile
82,  Neighbours like this
83,  Teaching his little sister how to ride a bil
84, Whws  Police K9 diagnosed with cancer gets her final walkout
85,g  q iy  This is goals
86, y  He didnt expect this
87,  Hes abraveman
88,  There are still good people in the world
89, iv  Man took his friend who is blind to a location where he can drive freely without worrying
90,If only there is a page dedicated to most beautiful girls.
91, io  Mother reacting to her Autistic son speaking to her for the first time
92, yy  Telling your stepdad that you named your son after him
93, iy  His flabor was gasted
94, wey  Just two old friends
95,  Life is short get your kid the dog i
96,  Stopping the traffic for this Y
97,f  wey  His friends are not gonna believe him AW
98, iy  This guy just fulfilled everyones childhood dream Lj
99, vy  Boys reaction to her sisters skills Ss a
100, 
101, 
102,  When Fear Disappears and Courage Takes Over sila c
103,a  4  Neglected dog couldnt hold back his tears when he realized he was finally being Adopted
104,Q   He checked on his mother frist then went to defend her
105,a   Only Man can have such Friendship Agree
106,a   How could anyone do that Humanity Died
107,9   To support his mom whos battling cancer her son and co workers all shaved their heads with her
108,  Her best friend was the first person she wanted to hear
109,os   His reaction was priceless when his Dad surprises him with a real Dirt bike
110,eS  2  A Real hero father Big Respect for this man
111,cop   Look can also do that but no one loves me
112,t a   ed Comparison is the thief of joy Ye
113,a   This is why you cant ucive up ape
114,a   They gave her service dog a diploma for accompanying her to all classes
115,  Did you know The Fastest animal on Earth sounds like This Mom asl  7
116,ya   The greatest warrior in this world is a mother
117,i  9  That only person in the world who stays with you in every situation
118,  Bro made 8 Billion people feel ashamed
119,i   Be the reason someone believes in the goodness of people
120,a   Little baby sees her papa wait for it
121,  I love how everyone recognized him
122,Se  7  That I hate you has more love than love you
123,  Owner surprises dog by dressing up as his favourite toy
124,a   The way the dog went and lay down
125,as   He lost everything in seconds and no one even noticed
126,ai   He checked on his mother frist then went to defend her
128,  Every morning she used to wave the passing school bus today was her birthday
129,sometimes its ok to break societys Rules Hes reaction is so Adorable
130,a   Worker saves kitten from a trash cutter machine Humanity is dead
131,de   Sometimes happiness is so big it spills from your eyes
132,  When this deaf mans cat realized that meowing was useless he learned to communicate with him through signs
133,i   25 year old cat came to lay with his owner for one last time
134,a   The son gave his father a final farewell ride f
135,ea   How could anyone do that
136,a   Men are simple
137,ei  4  He checked on his mother first then went to defend her ESO
138,  This 5 year old just set the standard for valentines Day
139,  This child was a cancer patient and her last wish was to fight tripleH 8 ada
140,  Pov Another reason why men want a girl as their first child
141,wt  F  Sometimes the biggest victories arent measured by scoreboards but by the size of the heart se
142,  He Was Dying SlowlyUntil This Man Saved Him Humanity is still alive
143,  Polite penguin patiently waits as a couple blocks its path for the perfect photo
144,a   Adopted child gets his first birthday cake with his new family
145,  A Moment of Magic Crowd Goes Silent to Help Blind Student Hear the Hoop 1 oie Js se
146,i a   oe His daughter helped him to see the football match
147,a   What is small to you can be huge for someone else oie a
148,a   A woman leaves her pet dog on the road drives off in the bus
149,lo   The reason why Sisters are called second mother N
150,  When this deaf mans cat realized that meowing was useless he learned to communicate with him through signs Thies
151,  Just a tiny human penguin following her fluffy mentor
152,9   When Swimmer realises she isnt the only one enjoying the song
153,Q   This is the Reason you cant Give up bn 35 t
154,  Bro won my Heart
155,  Girl who used to be paral ed surprises her old nurse by walking
156,Si   Its always a brother
157,a   Dogs also have feelings
158,2a   He will remember this moment for the entire life
159,  Daughter enters marathon to help her dad cross the finish line
160, p POV Another reason why men want a girl as their first child
161,  This child is brought to tears and cant hold his love back for his father on his birthday y
162,  These parent geese will remember him for Humanity is still Alive
163,  We dont deserve Dogs
164,  Its Too hurtful seeing a friend dying
165,4 a   ww What Happens When a Tiger Meets Its LongLost Owner
166,a   Friendship is the Purest love
